Hostname,Catalog Num,Description,Serial Number,Qty,Internal designation,Building,Street,Town or area,County or postcode,Country,GPS coordinates,Pricing 1 Year (Mar 2011 - Feb 2012),Comments and Actions Tomas West,Eqpt Type,Removal Total Price,Additions Total Price,Pricing 3 Year (Mar 2013 - Feb 2014)
cpe1-iua.hea.net,CISCO2801,"2801 w/AC PWR,2FE,4slots(2HWIC),2PVDM,2AIM,IP BASE,128F/384D",FCZ120392C9,1,Irish Universities Association ,,48 Merrion Square ,Dublin 2 ,Co. Dublin ,Ireland ,"53.3386, -6.24738",€88.68,,,,,€88.68
cpe1-liberties.hea.net,CISCO2801,"2801 w/AC PWR,2FE,4slots(2HWIC),2PVDM,2AIM,IP BASE,128F/384D",FCZ120392CB,1,CDVEC-Liberties ,,Bull Alley Street ,,Dublin 8 ,Ireland ,"53.3406, -6.27122",€88.68,,,,,€88.68
cpe1-nui.hea.net,CISCO2801,"2801 w/AC PWR,2FE,4slots(2HWIC),2PVDM,2AIM,IP BASE,128F/384D",FCZ094037Y7,1,National University of Ireland ,,49 Merrion Square ,Dublin 2 ,Co. Dublin ,Ireland ,"53.3385, -6.24745",€88.68,,,,,€88.68
cpe1-pac.hea.net,CISCO2801,"2801 w/AC PWR,2FE,4slots(2HWIC),2PVDM,2AIM,IP BASE,128F/384D",FCZ122711Q8,1,Postgraduate Applications Centre ,,1 Courthouse Square ,Galway ,Co. Galway ,Ireland ,"53.2762, -9.05458",€88.68,,,,,€88.68
cpe1-ria.hea.net,CISCO2801,"2801 w/AC PWR,2FE,4slots(2HWIC),2PVDM,2AIM,IP BASE,128F/384D",FCZ10332188,1,Royal Irish Academy ,,19 Dawson Street ,Dublin 2 ,Co. Dublin ,Ireland ,"53.3407, -6.25841",€88.68,,,,,€88.68
cpe1-whitehall.hea.net,CISCO2801,"2801 w/AC PWR,2FE,4slots(2HWIC),2PVDM,2AIM,IP BASE,128F/384D",FCZ120392CG,1,CDVEC-Whitehall ,,Swords Road ,Whitehall ,Dublin 9 ,Ireland ,"53.3947, -6.24555",€88.68,,,,,€88.68
cpe1-carlowc.hea.net,CISCO2821,"2821 w/ AC PWR,2GE,4HWICs,3PVDM,1NME-X,2AIM,IPBASE,128F/512D",FCZ122970SR,1,Carlow College ,,College Street ,Carlow ,Co. Carlow ,Ireland ,"52.8374, -6.92907",€152.61,,,,,€152.61
cpe1-cavanvec.hea.net,CISCO2821,"2821 w/ AC PWR,2GE,4HWICs,3PVDM,1NME-X,2AIM,IPBASE,128F/512D",FCZ133870EP,1,Cavan VEC ,,Church View Square ,Cavan ,Co. Cavan ,Ireland ,"53.9935, -7.3585",€152.61,,,,,€152.61
cpe1-epa.hea.net,CISCO2821,"2821 w/ AC PWR,2GE,4HWICs,3PVDM,1NME-X,2AIM,IPBASE,128F/512D",FCZ122970SQ,1,Environmental Protection Agency ,,Johnstown Castle Estate ,Wexford ,Co. Wexford ,Ireland ,"52.3392, -6.46012",€152.61,,,,,€152.61
cpe1-gda.hea.net,CISCO2821,"2821 w/ AC PWR,2GE,4HWICs,3PVDM,1NME-X,2AIM,IPBASE,128F/512D",FCZ132071FR,1,Grangegorman Development Agency ,St. Brendan's Hospital ,Former Nurses Education Centre ,Grangegorman ,Dublin 7 ,Ireland ,"53.355, -6.27667",€152.61,,,,,€152.61
cpe1-ichechq.hea.net,CISCO2821,"2821 w/ AC PWR,2GE,4HWICs,3PVDM,1NME-X,2AIM,IPBASE,128F/512D",FCZ131470CR,1,ICHEC HPC Hub ,Tower Building ,Trinity Enterprise Campus ,Grand Canal Quay ,Dublin 2 ,Ireland ,"53.3419, -6.23933",€152.61,,,,,€152.61
cpe1-killester.hea.net,CISCO2821,"2821 w/ AC PWR,2GE,4HWICs,3PVDM,1NME-X,2AIM,IPBASE,128F/512D",FCZ133070FM,1,CDVEC-Killester ,,Collins Avenue ,Killester ,Dublin 5 ,Ireland ,"53.3788, -6.23187",€152.61,,,,,€152.61
cpe1-limerickvec.hea.net,CISCO2821,2821 chassis,FCZ150473GS,1,City of Limerick VEC,Athenaeum Building,Upper Cecil Street,Limerick,Co. Limerick,Ireland ,"52.6612, -8.62681",,Add to Cisco Contract,,,€152.61,€152.61
cpe1-meathvec.hea.net,CISCO2821,"2821 w/ AC PWR,2GE,4HWICs,3PVDM,1NME-X,2AIM,IPBASE,128F/512D",FCZ143870KN,1,Meath VEC ,,Abbey Road ,Navan ,Co. Meath ,Ireland ,",",€152.61,,,,,€152.61
cpe1-ncri.hea.net,CISCO2821,"2821 w/ AC PWR,2GE,4HWICs,3PVDM,1NME-X,2AIM,IPBASE,128F/512D",FCZ120772AJ,1,National Cancer Registry Ireland ,"Cork Airport Business Park, Building 6800 ",Kinsale Road ,Cork ,Co. Cork ,Ireland ,"51.8535, -8.47632",€152.61,,,,,€152.61
cpe1-ndrc.hea.net,CISCO2821,"2821 w/ AC PWR,2GE,4HWICs,3PVDM,1NME-X,2AIM,IPBASE,128F/512D",FCZ121871AE,1,National Digital Research Centre ,Digital Exchange ,Crane Street ,The Digital Hub ,Dublin 8 ,Ireland ,"53.341, -6.28468",€152.61,,,,,€152.61
cpe1-rcpi.hea.net,CISCO2821,"2821 w/ AC PWR,2GE,4HWICs,3PVDM,1NME-X,2AIM,IPBASE,128F/512D",FCZ134570QR,1,Royal College of Physicians of Ireland ,Frederick House ,19 South Frederick Street ,Dublin 1 ,Co. Dublin ,Ireland ,"53.3413, -6.25703",€152.61,,,,,€152.61
cpe1-sjc.hea.net,CISCO2821,"2821 w/ AC PWR,2GE,4HWICs,3PVDM,1NME-X,2AIM,IPBASE,128F/512D",FCZ132471L0,1,St John's College ,,Sawmill Street ,Cork ,Co. Cork ,Ireland ,"51.894, -8.46774",€152.61,,,,,€152.61
cpe1-stacs.hea.net,CISCO2821,"2821 w/ AC PWR,2GE,4HWICs,3PVDM,1NME-X,2AIM,IPBASE,128F/512D",FCZ12047286,1,St Angela's College ,,Cloghereveagh Road ,Lough Gill ,Co. Sligo ,Ireland ,"54.2589, -8.38365",€152.61,,,,,€152.61
cpe2-cao.hea.net,CISCO2821,"2821 w/ AC PWR,2GE,4HWICs,3PVDM,1NME-X,2AIM,IPBASE,128F/512D",FCZ1204728A,1,Central Applications Office ,Tower House ,Eglington Street ,Galway ,Co. Galway ,Ireland ,"53.2738, -9.05178",€152.61,,,,,€152.61
cpe1-cao.hea.net,CISCO2851,"2851 w/ AC PWR,2GE,4HWIC,3PVDM,1NME-XD,2AIM,IPBASE,128F/512D",FCZ102271JW,1,Central Applications Office ,Tower House ,Eglington Street ,Galway ,Co. Galway ,Ireland ,"53.2738, -9.05178",€152.61,,,,,€152.61
cpe1-rcsi.hea.net,CISCO7204VXR,"Cisco 7204VXR, 4-slot chassis, 1 AC Supply w/IP Software",36323141,1,Royal College of Surgeons in Ireland ,,123 St Stephen's Green ,Dublin 2 ,Co. Dublin ,Ireland ,"53.3389, -6.26158","€1,220.35",,,,,"€1,220.35"
cpe2-ichec.hea.net,CISCO7204VXR,"Cisco 7204VXR, 4-slot chassis, 1 AC Supply w/IP Software",36323200,1,ICHEC ,IT Department ,NUI Galway ,Galway ,Co. Galway ,Ireland ,"53.2801, -9.05856","€1,220.35",,,,,"€1,220.35"
cpe2-ncad.hea.net,CISCO7204VXR,"Cisco 7204VXR, 4-slot chassis, 1 AC Supply w/IP Software",36323958,1,National College of Art and Design ,,100 Thomas Street ,Dublin 8 ,Co. Dublin ,Ireland ,"53.3429, -6.2797","€1,220.35",,,,,"€1,220.35"
cpe1-itt.hea.net,CISCO7204VXR,"Cisco 7204VXR, 4-slot chassis, 1 AC Supply w/IP Software",36323848,1,IT Tralee campus ,,Clash ,Tralee ,Co. Kerry ,Ireland ,"52.2696, -9.7001","€1,220.35",,,,,"€1,220.35"
ar3-cwt.hea.net,CISCO7206VXR,"Cisco 7206VXR, 6-slot chassis, 1 AC Supply w/IP Software",35844213,1,Citywest | ESAT-X ,"BT Application Hosting, Unit 4029 ","Kingswood Road, National Digital Park ",City West ,Co. Dublin ,Ireland ,"53.2914, -6.41475","€1,537.94",,,,,"€1,537.94"
cpe1-ac.hea.net,CISCO7206VXR,"Cisco 7206VXR, 6-slot chassis, 1 AC Supply w/IP Software",34599782,1,An Cheim ,,Fumbally Square ,Fumbally Lane ,Dublin 8 ,Ireland ,"53.337, -6.27382","€1,537.94",,,,,"€1,537.94"
cpe1-ait.hea.net,CISCO7206VXR,"Cisco 7206VXR, 6-slot chassis, 1 AC Supply w/IP Software",35049051,1,AIT Campus ,,Dublin Road ,Athlone ,Co. Westmeath ,Ireland ,"53.4247, -7.95238","€1,537.94",,,,,"€1,537.94"
cpe1-dit.hea.net,CISCO7206VXR,"Cisco 7206VXR, 6-slot chassis, 1 AC Supply w/IP Software",35232019,1,DIT Aungier Street ,,Aungier Street ,Dublin 2 ,Co. Dublin ,Ireland ,"53.3385, -6.26654","€1,537.94",,,,,"€1,537.94"
cpe1-dkit.hea.net,CISCO7206VXR,"Cisco 7206VXR, 6-slot chassis, 1 AC Supply w/IP Software",35049191,1,DKIT Campus ,,Dublin Road ,Dundalk ,Co. Louth ,Ireland ,"53.9825, -6.39486","€1,537.94",,,,,"€1,537.94"
cpe1-fetac.hea.net,CISCO7206VXR,"Cisco 7206VXR, 6-slot chassis, 1 AC Supply w/IP Software",35049114,1,FETAC East Point ,East Point Plaza ,East Point Business Park ,Dublin 3 ,Co. Dublin ,Ireland ,"53.3574, -6.22337","€1,537.94",,,,,"€1,537.94"
cpe1-gmit.hea.net,CISCO7206VXR,"Cisco 7206VXR, 6-slot chassis, 1 AC Supply w/IP Software",35049126,1,GMIT Main Campus ,Main Campus ,Dublin Road ,Galway ,Co. Galway ,Ireland ,"53.2786, -9.01038","€1,537.94",,,,,"€1,537.94"
cpe1-iadt.hea.net,CISCO7206VXR,"Cisco 7206VXR, 6-slot chassis, 1 AC Supply w/IP Software",35049025,1,IADT Campus ,,Kill Avenue ,Dun Laoghaire ,Co. Dublin ,Ireland ,"53.2819, -6.15178","€1,537.94",,,,,"€1,537.94"
cpe1-itb.hea.net,CISCO7206VXR,"Cisco 7206VXR, 6-slot chassis, 1 AC Supply w/IP Software",35027882,1,Institute of Technology Blanchardstown ,,Blanchardstown Road North ,Blanchardstown ,Dublin 15 ,Ireland ,"53.4031, -6.38074","€1,537.94",,,,,"€1,537.94"
cpe1-itc.hea.net,CISCO7206VXR,"Cisco 7206VXR, 6-slot chassis, 1 AC Supply w/IP Software",35049173,1,Institute of Technology Carlow ,,Kilkenny Road ,Carlow ,Co. Carlow ,Ireland ,"52.8287, -6.93673","€1,537.94",,,,,"€1,537.94"
cpe1-its.hea.net,CISCO7206VXR,"Cisco 7206VXR, 6-slot chassis, 1 AC Supply w/IP Software",35049157,1,Institute of Technology Sligo ,,Ash Lane ,Sligo ,Co. Sligo ,Ireland ,"54.2763, -8.45899","€1,537.94",,,,,"€1,537.94"
cpe1-ittallaght.hea.net,CISCO7206VXR,"Cisco 7206VXR, 6-slot chassis, 1 AC Supply w/IP Software",35049143,1,Institute of Technology Tallaght ,,Tallaght ,Dublin 24 ,Co. Dublin ,Ireland ,"53.2911, -6.36363","€1,537.94",,,,,"€1,537.94"
cpe1-lit.hea.net,CISCO7206VXR,"Cisco 7206VXR, 6-slot chassis, 1 AC Supply w/IP Software",34599779,1,Limerick Institute of Technology ,,Moylish Park ,Limerick ,Co. Limerick ,Ireland ,"52.6738, -8.64812","€1,537.94",,,,,"€1,537.94"
cpe1-lyit.hea.net,CISCO7206VXR,"Cisco 7206VXR, 6-slot chassis, 1 AC Supply w/IP Software",35049169,1,Letterkenny Institute of Technology ,,Port Road ,Letterkenny ,Co. Donegal ,Ireland ,"54.9501, -7.71838","€1,537.94",,,,,"€1,537.94"
cpe1-mi.hea.net,CISCO7206VXR,"Cisco 7206VXR, 6-slot chassis, 1 AC Supply w/IP Software",36403387,1,Marine Institute ,Marine Institute Headquarters ,Rinville ,Oranmore ,Co. Galway ,Ireland ,"53.2477, -8.97815","€1,537.94",,,,,"€1,537.94"
cpe1-mi.hea.net,CISCO7206VXR,"Cisco 7206VXR, 6-slot chassis, 1 AC Supply w/IP Software",36403387,1,Marine Institute ,Marine Institute Headquarters ,Rinville ,Oranmore ,Co. Galway ,Ireland ,"53.2477, -8.97815","€1,537.94",,,,,"€1,537.94"
cpe1-tippinst.hea.net,CISCO7206VXR,"Cisco 7206VXR, 6-slot chassis, 1 AC Supply w/IP Software",35049202,1,TippInst Thurles Campus ,,Nenagh Road ,Thurles ,Co. Tipperary ,Ireland ,"52.6861, -7.82467","€1,537.94",,,,,"€1,537.94"
